name,collection,material,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,r_max_mm,count,spool,axis_x,axis_y,axis_z,spin
fan_cowl_door,09 Accessories,casing_alloy,585,574,286.0,760.0,-464.2,-60.1,369.3,602.6,605.9,,,,,,
fan_door_hardware,09 Accessories,casing_alloy,1176,1218,316.9,680.2,-454.3,146.6,389.8,607.6,613.1,,,,,,
fuel_lines,09 Accessories,steel,456,416,559.3,1582.2,341.5,531.6,-442.6,-243.6,612.9,,,,,,
gearbox,09 Accessories,casing_alloy,1518,1626,290.0,781.3,-290.0,140.0,-764.9,-555.1,801.9,,,,,,
gearbox_mounts,09 Accessories,casing_alloy,320,176,331.4,708.6,-111.8,111.8,-611.3,-569.9,615.8,,,,,,
generator_1,01 Inlet and Fan,casing_alloy,728,404,327.2,472.2,137.0,303.0,-724.0,-596.0,769.2,,,,,,
generator_2,01 Inlet and Fan,casing_alloy,728,404,571.0,716.0,137.0,303.0,-724.0,-596.0,769.2,,,,,,
harnesses,09 Accessories,rubber,760,690,52.0,3528.0,-558.8,226.0,395.9,638.1,735.6,,,,,,
heat_exchanger,09 Accessories,steel,728,724,295.0,617.0,250.8,667.6,-616.3,-113.2,723.0,,,,,,
hydraulic_pump_1,01 Inlet and Fan,casing_alloy,400,230,339.0,451.0,-133.2,-21.2,-830.0,-712.0,834.4,,,,,,
hydraulic_pump_2,01 Inlet and Fan,casing_alloy,400,230,569.0,681.0,-133.2,-21.2,-830.0,-712.0,834.4,,,,,,
ignition_exciters,09 Accessories,steel,496,452,470.0,1766.0,-534.5,435.1,-652.4,652.4,683.1,,,,,,
inlet_probes,09 Accessories,steel,324,294,-324.0,-276.0,-594.9,227.2,-571.8,571.8,600.5,,,,,,
mount_links_rear,09 Accessories,titanium,528,500,2456.0,2650.0,329.4,624.1,-366.4,366.4,638.6,,,,,,
oil_lines,09 Accessories,steel,860,782,439.7,2520.4,-78.8,646.6,-769.8,336.9,770.0,,,,,,
oil_pressure_pump,01 Inlet and Fan,casing_alloy,400,230,403.8,505.8,6.2,108.2,-810.0,-712.0,814.3,,,,,,
oil_scavenge_pump,01 Inlet and Fan,casing_alloy,400,230,536.8,648.8,1.2,113.2,-820.0,-712.0,824.5,,,,,,
oil_tank,09 Accessories,steel,448,444,300.0,640.0,251.0,710.3,113.3,655.8,819.4,,,,,,
panel_bolts,09 Accessories,casing_alloy,2106,2430,237.0,2324.4,-244.3,348.4,-613.0,613.0,613.0,,,,,,
t5_harness,09 Accessories,steel,1376,1312,2421.0,2474.0,-512.8,512.8,-512.8,512.8,521.6,,,,,,
towershaft,09 Accessories,steel,212,238,728.0,852.0,-120.0,26.0,-654.0,-108.0,664.9,,,,,,
turbine_cooling_manifold,04 Turbines,steel,3060,2762,1499.2,2360.8,-549.7,588.0,-549.7,549.7,593.5,,,,,,
vbv_doors,09 Accessories,casing_alloy,1060,966,646.0,767.0,-622.2,622.2,-591.8,622.2,622.2,,,,,,
